date,sessions,users,key_events,engagement_rate,avg_duration_sec
2026-05-09,5700,5189,0,70.86,106.4
2026-02-22,4832,4447,0,73.97,150.6
2026-05-10,4247,3651,0,70.99,198.0
2026-02-23,3511,3254,0,71.97,151.5
2026-03-01,3363,2962,0,67.86,195.3
2026-01-13,3274,3154,0,73.03,144.0
2026-02-14,3263,2847,0,70.36,191.6
2026-06-19,3205,2983,1,66.68,83.5
2026-02-15,3021,2732,0,70.37,189.8
2026-02-28,2932,2661,0,70.33,205.3
2026-05-03,2914,2580,0,69.8,175.1
2026-03-29,2896,2577,0,70.17,183.9
2026-04-19,2795,2479,0,70.45,189.6
2026-04-26,2788,2514,0,70.44,166.4
2026-03-07,2761,2482,0,71.1,177.9
2026-01-18,2756,2457,0,68.11,195.3
2026-03-28,2711,2427,0,69.09,165.6
2026-03-14,2698,2394,0,69.83,165.8
2026-05-07,2697,2551,0,52.8,92.5
2026-03-15,2687,2400,0,68.14,162.0
2026-06-21,2669,2391,5,67.29,165.6
2026-04-18,2633,2363,0,70.79,165.3
2026-07-02,2624,2355,6,46.27,85.5
2026-04-11,2587,2345,0,71.59,168.2
2026-03-22,2544,2305,0,68.44,225.8
2026-04-12,2537,2306,0,69.26,190.6
2026-01-01,2520,2268,0,68.69,180.9
2026-03-08,2508,2256,0,67.58,169.5
2026-05-05,2501,2383,0,45.94,94.8
2026-01-31,2478,2253,0,68.89,161.6
2026-04-25,2478,2233,0,68.89,168.1
2026-02-01,2472,2244,0,69.3,157.3
2026-03-21,2446,2216,0,65.58,157.0
2026-05-24,2438,2204,0,72.03,177.5
2026-05-02,2426,2177,0,70.07,168.2
2026-05-16,2424,2151,0,70.54,163.7
2026-02-21,2421,2157,0,70.1,165.4
2026-06-20,2370,2164,3,70.84,166.0
2026-05-08,2362,2121,0,72.27,157.5
2026-04-04,2349,2095,0,69.22,172.0
2026-02-24,2335,2156,0,70.28,142.1
2026-06-26,2311,2171,5,66.72,96.2
2026-07-05,2306,1981,0,47.88,139.2
2026-06-17,2295,2171,6,72.16,78.5
2026-04-05,2283,2035,0,70.35,188.7
2026-05-23,2280,2060,0,72.63,176.9
2026-06-07,2252,2010,0,72.02,188.0
2026-06-27,2243,2046,5,65.98,138.7
2026-05-17,2204,1969,0,70.28,150.6
2026-02-27,2166,1971,0,71.98,165.4
2026-06-14,2152,1938,7,75.79,148.3
2026-02-07,2127,1886,0,68.97,151.3
2026-07-04,2051,1739,2,45.05,124.9
2026-06-28,2040,1826,6,67.21,159.5
2026-01-17,2036,1835,0,70.09,165.1
2026-07-03,2024,1717,1,46.29,135.6
2026-05-31,2002,1813,0,71.73,193.7
2026-03-27,1947,1764,0,68.93,146.9
2026-01-11,1926,1724,0,69.42,189.2
2026-06-15,1882,1740,9,76.73,100.7
2026-02-08,1865,1662,0,72.01,167.2
2026-02-25,1849,1666,0,70.9,158.1
2026-06-13,1835,1650,6,75.26,160.7
2026-04-03,1834,1657,0,69.25,143.9
2026-06-06,1832,1647,0,71.02,169.3
2026-01-10,1822,1639,0,70.14,176.0
2026-02-26,1817,1651,0,70.56,155.8
2026-05-30,1810,1619,0,69.12,163.6
2026-05-15,1809,1631,0,73.3,151.0
2026-04-24,1807,1661,0,67.18,144.6
2026-03-20,1799,1660,0,67.37,134.2
2026-03-13,1774,1587,0,70.91,176.8
2026-05-25,1774,1594,0,69.0,158.7
2026-01-04,1759,1578,0,70.95,175.3
2026-02-13,1738,1562,0,71.23,159.9
2026-05-01,1712,1564,0,71.55,159.3
2026-04-10,1699,1531,0,70.16,145.7
2026-03-06,1693,1529,0,73.01,157.8
2026-01-03,1679,1519,0,70.04,163.6
2026-02-04,1676,1525,0,62.95,104.5
2026-05-22,1610,1469,0,70.19,155.6
2026-03-18,1607,1477,0,55.88,124.6
2026-01-19,1592,1464,0,60.55,153.5
2026-01-14,1587,1460,0,69.19,146.6
2026-02-20,1507,1383,0,72.66,166.7
2026-04-17,1501,1366,0,72.29,149.7
2026-05-06,1488,1362,0,72.31,152.8
2026-01-02,1486,1334,0,69.25,172.4
2026-03-05,1471,1309,0,69.95,153.3
2026-03-19,1465,1363,0,61.43,124.2
2026-01-30,1457,1357,0,71.72,161.1
2026-01-16,1454,1307,0,70.22,149.5
2026-07-01,1452,1274,3,45.11,133.1
2026-03-26,1436,1307,0,66.43,146.5
2026-03-24,1428,1323,0,60.43,127.4
2026-06-12,1421,1298,6,73.26,138.4
2026-05-14,1398,1270,0,72.1,191.5
2026-03-25,1395,1272,0,63.15,144.6
2026-04-02,1392,1237,0,70.62,141.5
2026-03-17,1389,1303,0,58.39,134.7
2026-03-23,1362,1247,0,61.75,139.4
2026-03-02,1353,1245,0,64.82,150.9
2025-12-31,1350,1227,0,71.19,149.8
2026-05-13,1338,1222,0,71.38,144.7
2026-04-09,1333,1206,0,70.67,146.4
2026-06-05,1326,1208,0,73.76,161.7
2026-03-12,1306,1200,0,72.13,158.3
2026-01-24,1305,1164,0,67.59,163.0
2026-03-11,1300,1190,0,69.15,150.0
2026-03-16,1288,1164,0,71.35,160.7
2026-04-30,1286,1184,0,71.77,167.4
2026-06-18,1286,1173,10,67.34,157.9
2026-05-04,1278,1163,0,71.67,255.8
2026-02-16,1276,1133,0,66.85,226.9
2026-02-06,1268,1129,0,70.03,189.3
2026-03-04,1253,1133,0,69.91,149.1
2026-07-06,1237,1084,6,42.44,205.7
2026-04-01,1232,1118,0,72.89,168.1
2025-12-30,1227,1112,0,70.42,169.5
2026-04-23,1226,1107,0,71.7,144.9
2026-04-28,1225,1103,0,68.08,141.1
2026-05-29,1223,1108,0,71.87,161.1
2026-05-18,1212,1098,0,68.98,139.6
2025-12-29,1205,1071,0,67.3,138.0
2026-01-09,1205,1076,0,68.38,140.0
2026-03-30,1195,1087,0,70.71,146.8
2026-05-21,1184,1091,0,74.24,140.1
2026-01-15,1178,1076,0,69.78,155.2
2026-02-12,1164,1049,0,70.27,154.9
2026-03-10,1156,1059,0,70.42,157.6
2026-04-08,1153,1044,0,72.07,140.6
2026-03-09,1141,1073,0,69.5,158.3
2026-03-31,1136,1037,0,70.51,150.9
2026-06-25,1130,1032,1,66.64,142.0
2026-04-27,1125,1019,0,69.33,154.6
2026-03-03,1123,1031,0,69.81,147.2
2026-04-16,1121,1033,0,72.61,275.9
2026-04-07,1115,1019,0,70.13,161.9
2026-04-20,1113,1006,0,70.89,163.1
2026-05-20,1107,1006,0,69.29,182.7
2026-04-29,1098,996,0,68.85,183.2
2026-06-11,1097,1012,5,74.38,128.4
2026-06-16,1093,992,6,72.0,153.5
2026-04-06,1087,995,0,68.35,176.1
2026-06-04,1080,986,0,71.76,161.9
2026-05-28,1079,983,0,70.16,143.4
2026-02-19,1072,968,0,68.19,157.9
2026-02-05,1069,957,0,69.88,172.4
2026-04-14,1062,953,0,70.72,192.5
2026-05-19,1061,956,0,67.58,127.0
2026-04-21,1054,962,0,70.97,187.6
2026-02-11,1043,952,0,73.25,159.4
2026-02-02,1036,950,0,69.88,129.7
2026-06-29,1035,923,5,65.89,174.0
2026-04-15,1032,942,0,72.0,156.8
2026-04-13,1026,927,0,71.35,154.0
2026-06-10,1026,921,2,72.9,156.0
2026-06-30,1024,935,3,57.62,148.3
2026-05-11,1022,945,0,69.86,166.8
2026-02-17,1013,905,0,70.68,247.6
2026-06-09,1003,912,0,71.49,138.0
2026-02-18,1001,919,0,68.43,251.1
2026-06-22,999,939,8,67.27,146.1
2026-05-27,998,914,0,70.94,160.8
2026-06-03,998,910,0,69.64,159.2
2026-06-08,995,915,0,71.16,144.4
2026-04-22,991,903,0,71.75,150.7
2026-06-24,981,899,4,63.71,143.9
2026-06-02,973,888,0,72.25,160.3
2026-01-08,967,883,0,71.35,168.8
2026-05-12,960,863,0,72.92,151.2
2026-01-20,956,869,0,67.05,131.5
2026-02-09,952,836,0,67.75,167.0
2026-05-26,951,873,0,68.45,140.0
2026-06-01,946,864,0,72.41,196.1
2026-06-23,938,847,3,65.78,109.2
2026-02-10,920,835,0,72.39,152.9
2026-01-23,912,823,0,72.26,172.1
2026-01-29,892,831,0,73.88,146.7
2026-01-06,882,799,0,67.8,178.0
2026-01-12,853,773,0,67.88,197.5
2026-01-21,847,764,0,67.18,165.9
2026-02-03,844,763,0,70.38,162.5
2026-01-28,812,753,0,70.07,141.3
2026-01-07,808,722,0,71.41,189.2
2026-01-05,799,732,0,69.84,147.7
2026-01-22,772,707,0,69.17,138.7
2026-01-27,662,595,0,67.82,144.8
2026-01-26,546,504,0,64.47,179.3
2026-01-25,408,365,0,65.93,142.3
